LOC_RES(SINAVE),LAT_DECIMAL,LON_DECIMAL
CORRAL VIEJO,19.10133,-100.472809
CORRAL VIEJO,19.318291,-100.608663
CORRALITOS,18.623866,-103.505026
CORRALITOS,18.301366,-102.898224
CORTIJO NUEVO,19.783029,-101.701288
COTIJA DE LA PAZ,19.810285,-102.705822
COYUQUILLA,,
CRUCERO DE PARÁCUARO,19.014413,-102.2755
CRUCERO LAS YEGUAS,19.013611,-102.250556
CRUCES DE ROJAS,,
CRUZ DE CAMPOS,18.571396,-103.590463
CUAMÁCUARO,19.027516,-101.387397
CUAMIO,20.033003,-101.149286
CUARO,18.535616,-101.069863
CUARTEL DE EMILIANO ZAPATA,19.580328,-100.292992
CUATACEO,,
CUATRO CAMINOS,18.987867,-102.102684
CUATRO CAMINOS,18.432777,-102.288889
CUERAMATO,18.931483,-102.410657
CUIMBO,18.865162,-101.663137
CUIRINDALES DE MARITANGACHO,18.87462,-101.386139
CUIRINDICHAPIO,,
CUIRIPAN,18.580802,-101.472847
CUITZÁN,18.591092,-101.55645
CUITZEO DEL PORVENIR,19.968213,-101.139584
CUMUATILLO,20.148858,-102.622697
CUMUATO,20.257964,-102.589754
CUPUÁN DEL RÍO,18.778827,-102.186876
CURICIPO,20.138333,-101.803333
CUTZAMALA DE PINZÓN,,
CUTZATO (CUISATO),19.366384,-102.134786
DESVIACIÓN DE INFIERNILLO (EL CRUCERO),18.523253,-101.980151
DEVANADOR DE RIVERA,19.384094,-100.826692
DIECIOCHO DE MARZO,19.232107,-102.705956
DIECIOCHO DE MARZO,19.611629,-102.358334
DIVISIÓN DEL NORTE [CRUCERO DE CATALINAS],19.081152,-102.610838
DOCTOR MIGUEL SILVA MACÍAS,19.164931,-101.726587
DOLORES (EX-HACIENDA DE DOLORES),19.241541,-100.346861
DOS RÍOS (BARBECHOS),19.346111,-100.384166
ECATEPEC DE MORELOS,,
ECUANDUREO,20.162616,-102.194566
EL AGUACATE,18.82861,-103.531666
EL AGUACATE,18.667222,-102.901944
EL AGUACATE,19.434401,-102.125628
EL AGUACATE,18.883482,-103.036029
EL AGUACATE,18.937568,-103.308518
EL AGUACATE,18.66668,-102.901756
EL AGUACATE,19.52497,-101.504573
EL AGUACATE,19.476666,-101.135
EL AGUACATE,18.201653,-102.171194
EL AGUACATE,19.170981,-101.209591
EL AGUACATE,19.043825,-100.964827
EL AGUACATE,18.417552,-103.436804
EL AGUACATE,18.76796,-100.880299
EL AGUACATE,18.498899,-103.296171
EL AGUACATE,19.208534,-100.406091
EL AGUACATE,19.211284,-100.355231
EL AGUACATE,18.526611,-103.426959
